recipe_id,ingredient_id
1,1
1,19
1,20
1,21
1,24
1,52
1,41
1,60
1,61
1,77
1,79
2,55
2,53
2,28
2,38
2,39
2,24
2,23
2,78
2,77
3,87
3,42
3,60
3,24
3,74
3,75
3,19
3,52
3,77
3,94
4,40
4,87
4,88
4,89
4,24
4,60
4,67
4,68
4,72
4,73
5,13
5,86
5,77
5,52
6,13
6,84
6,90
6,69
6,52
6,77
7,19
7,24
7,25
7,26
7,27
7,77
8,38
8,77
8,70
8,71
9,3
9,86
9,77
10,4
10,86
10,77
11,40
11,57
11,63
11,52
11,24
11,19
11,77
12,38
12,62
12,23
12,24
12,37
12,78
12,77
13,6
13,5
13,86
14,56
14,19
14,24
14,43
14,52
14,78
14,77
14,76
15,9
15,21
15,23
15,24
15,52
15,78
15,77
16,28
16,19
16,21
16,23
16,53
16,38
16,39
16,50
16,24
16,78
16,77
17,30
17,7
17,53
17,38
17,39
17,50
17,23
17,78
17,77
18,31
18,32
18,53
18,49
18,39
18,40
18,50
18,78
18,77
18,23
19,95
19,53
19,38
19,39
19,50
19,23
19,24
19,78
19,77
20,33
20,32
20,53
20,38
20,39
20,50
20,49
20,78
20,77
20,23
21,45
21,5
21,34
21,50
21,78
21,77
21,23
21,35
22,59
22,53
22,38
22,39
22,50
22,29
22,78
22,77
22,23
23,9
23,24
23,23
23,77
23,52
24,22
24,23
24,24
24,65
24,53
24,38
24,78
24,77
25,9
25,8
25,53
25,24
25,23
25,78
25,77
26,5
26,53
26,19
26,24
26,23
26,78
26,77
26,29
27,2
27,22
27,23
27,24
27,65
27,53
27,44
27,78
27,77
28,5
28,8
28,38
28,62
28,24
28,23
28,37
28,78
28,77
29,1
29,86
29,77
30,17
30,40
30,53
30,50
30,23
30,78
30,24
30,77
31,14
31,58
31,40
31,53
31,23
31,24
31,78
31,77
31,29
32,11
32,53
32,77
32,78
32,86
33,1
33,83
33,85
33,86
33,77
34,48
34,53
34,81
34,24
34,23
34,35
34,78
34,77
35,47
35,53
35,81
35,23
35,24
35,35
35,78
35,77
36,1
36,90
36,24
36,23
36,78
36,77
37,40
37,57
37,64
37,77
37,82
37,86
38,8
38,52
38,77
39,9
39,77
39,86
40,8
40,56
40,77
41,46
41,50
41,53
41,23
41,78
41,77
41,37
42,15
42,53
42,24
42,23
42,50
42,78
42,77
43,9
43,53
43,66
43,24
43,78
43,77
44,29
44,19
44,24
44,53
44,38
44,50
44,23
44,78
44,77
45,1
45,85
45,83
45,77
45,52
46,40
46,77
46,24
46,23
46,78
47,10
47,12
47,18
47,81
47,54
47,80
48,5
48,9
48,53
48,50
48,94
48,24
48,78
48,77
49,65
49,53
49,100
49,50
49,94
49,24
49,78
49,77
50,45
50,53
50,19
50,21
50,23
50,24
50,78
50,77
51,96
51,53
51,44
51,39
51,50
51,94
51,78
51,77
52,1
52,85
52,83
52,77
52,52
52,82
53,97
53,98
53,53
53,50
53,24
53,94
53,77
53,78
53,15
53,35
53,46
54,7
54,99
54,53
54,100
54,50
54,94
54,78
54,77
54,29
54,36
55,105
55,24
55,94
55,77
55,78
55,52
56,19
56,94
56,24
56,50
56,101
56,38
56,78
56,93
57,102
57,19
57,94
57,24
57,78
57,50
57,52
57,77
58,22
58,21
58,103
58,24
58,53
58,44
58,65
58,78
58,50
59,45
59,35
59,5
59,94
59,50
59,78
59,77
60,32
60,53
60,39
60,40
60,50
60,94
60,78
60,77
61,9
61,104
61,53
61,94
61,24
61,50
61,77
61,78
62,7
62,105
62,36
62,49
62,101
62,50
62,53
62,94
62,78
62,77
63,46
63,92
63,50
63,94
63,78
63,93
2,50
3,16
4,77
4,94
6,108
8,107
41,49
47,77
47,86
60,109
63,40
56,106
63,106
